alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id
705d2dab56,2026-04-30T02:42:42.869918+00:00,BTC,1h,BREAK_RETEST_BEAR,SHORT,75586.41,75841.2079,74922.47,2.61,swing_level,-6,67,MEDIUM,4,intraday (hours),39.11,485.9197,26.22,MIXED,2,0.66,0,CLOSED,LOSS,0,75841.2079,67,,2026-04-30
712b4a25cb,2026-04-30T02:44:30.214086+00:00,BTC,1h,BREAK_RETEST_BEAR,SHORT,75604.03,75841.2079,74922.47,2.87,swing_level,-6,67,MEDIUM,5,intraday (hours),39.31,485.9197,26.22,MIXED,2,0.68,0,CLOSED,LOSS,0,75841.2079,67,,2026-04-30
4406f3019d,2026-04-30T14:47:53.821496+00:00,NQ,15m,APPROACH_SUPPORT,WATCH_LONG,27163.25,27125.1431,27252.0,2.33,swing_level_sweet,8,72,MEDIUM,,intraday (hours),31.77,76.2139,30.09,HH_HL,14,1.28,0,CLOSED,LOSS,0,27125.1431,72,,2026-04-30
04de1f9e9f,2026-04-30T14:47:54.526560+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,76346.27,76830.7555,75290.1,2.18,swing_level_sweet,-5,81,HIGH,2,swing (1-3 days),54.03,437.0136,19.36,MIXED,14,0.98,0,CLOSED,LOSS,0,76830.7555,81,,2026-04-30
f93a64e465,2026-04-30T14:54:23.094525+00:00,NQ,15m,BB_REVERSION_BULL,LONG,27235.5,27140.3001,27439.5,2.14,swing_level_sweet,8,87,HIGH,,swing (1-3 days),35.51,76.4996,30.09,HH_HL,14,2.27,0,CLOSED,LOSS,0,27140.3001,87,,2026-04-30
da93629564,2026-04-30T14:54:23.757984+00:00,BTC,15m,RSI_DIV_BEAR,SHORT,76348.85,76745.103,75464.99,2.23,swing_level_sweet,-5,63,LOW,3,scalp (minutes-hours),56.68,222.8826,24.06,MIXED,14,0.93,0,CLOSED,LOSS,0,76745.103,63,,2026-04-30
568c34d5ae,2026-04-30T15:24:44.125932+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,27374.25,27227.4575,27622.75,1.69,swing_level,10,100,HIGH,,swing (1-3 days),49.95,78.9626,26.75,HH_HL,15,1.75,0,CLOSED,LOSS,0,27227.4575,100,,2026-04-30
a769ae7012,2026-04-30T16:08:32.546434+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,27403.75,27334.9356,27542.5,2.02,swing_level_sweet,10,78,MEDIUM,,intraday (hours),52.31,77.8219,22.75,HH_HL,16,0.92,0,CLOSED,LOSS,0,27334.9356,78,,2026-04-30
749d50732e,2026-04-30T16:25:14.612696+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,27426.5,27315.6974,27622.75,1.77,swing_level,10,86,HIGH,,swing (1-3 days),54.36,77.7632,21.7,HH_HL,16,0.81,0,CLOSED,LOSS,0,27315.6974,86,,2026-04-30
e8a66a30ad,2026-04-30T16:41:57.846139+00:00,NQ,1h,VWAP_BOUNCE_BULL,LONG,27416.75,27305.8564,27622.75,1.86,swing_level,10,72,MEDIUM,,intraday (hours),53.37,126.9678,17.71,HH_HL,16,0.92,0,CLOSED,LOSS,0,27305.8564,72,,2026-04-30
590a8c89fb,2026-04-30T16:53:06.211320+00:00,NQ,1h,VWAP_BOUNCE_BULL,LONG,27407.5,27305.8564,27622.75,2.12,swing_level_sweet,10,72,MEDIUM,,intraday (hours),52.93,126.9678,17.71,HH_HL,16,1.1,0,CLOSED,LOSS,0,27305.8564,72,,2026-04-30
39fe852c60,2026-04-30T17:04:13.656025+00:00,NQ,1h,VWAP_BOUNCE_BULL,LONG,27377.0,27305.8564,27542.5,2.33,swing_level_sweet,10,71,MEDIUM,,intraday (hours),51.37,126.9678,17.71,HH_HL,17,1.39,0,CLOSED,LOSS,0,27305.8564,71,,2026-04-30
e56829e340,2026-04-30T18:38:17.402574+00:00,NQ,15m,BREAK_RETEST_BULL,LONG,27556.0,27525.0656,27622.75,2.16,swing_level_sweet,8,69,MEDIUM,,intraday (hours),63.52,62.3361,17.81,MIXED,18,0.41,0,CLOSED,LOSS,0,27525.0656,69,,2026-04-30
