alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
faa548c510,2026-05-29T22:00:25.306689+00:00,NQ,1h,BREAK_RETEST_BULL,LONG,30389.5,30332.5235,30536.0,2.57,swing_level_sweet,10,88,HIGH,,swing (1-3 days),57.22,91.8162,27.97,HH_HL,22,0.57,0,CLOSED,LOSS,0,30389.5,50,,2026-06-01,-2,0,L1:BREAK_RETEST_BULL-2
bf3f87d284,2026-05-31T16:38:47.572559+00:00,NQ,1h,BREAK_RETEST_BULL,LONG,30389.5,30332.5235,30536.0,2.57,swing_level_sweet,10,97,HIGH,,swing (1-3 days),57.22,91.8162,27.97,HH_HL,16,0.57,0,CLOSED,LOSS,0,30389.5,50,,2026-06-01,5,0,L1:BREAK_RETEST_BULL+5
5890ffcd65,2026-05-31T21:07:51.377018+00:00,BTC,15m,EMA50_BREAKDOWN,SHORT,73613.15,73675.6567,73454.27,2.54,swing_level_sweet,-10,90,HIGH,15,swing (1-3 days),53.82,99.9265,20.77,MIXED,21,2.61,0,CLOSED,LOSS,0,73675.6567,35,,2026-06-01,0,-5,L2:BTC-BEAR-5
26a9eac170,2026-05-31T22:00:14.823514+00:00,NQ,1h,BREAK_RETEST_BULL,LONG,30389.5,30332.5235,30536.0,2.57,swing_level_sweet,10,95,HIGH,,swing (1-3 days),57.22,91.8162,27.97,HH_HL,22,0.57,0,CLOSED,WIN,0,30536.0,65,,2026-06-01,5,0,L1:BREAK_RETEST_BULL+5
ccb07cf947,2026-05-31T22:08:05.369852+00:00,BTC,15m,STOCH_REVERSAL_BEAR,SHORT,73673.81,73858.3206,73288.0,2.09,swing_level_sweet,-10,81,HIGH,6,swing (1-3 days),55.26,123.3014,18.07,MIXED,22,1.66,0,CLOSED,LOSS,0,73858.3206,56,,2026-06-01,0,-5,"L1:STOCH_REVERSAL_BEAR+0,L2:BTC-BEAR-5"
f39ada2d31,2026-05-31T23:15:17.002017+00:00,BTC,15m,STOCH_REVERSAL_BEAR,SHORT,73832.87,73950.5956,73603.75,1.95,swing_level,-8,76,MEDIUM,8,intraday (hours),64.4,136.0891,18.85,MIXED,23,2.87,0,CLOSED,WIN,0,73603.75,50,,2026-06-01,0,-5,"L1:STOCH_REVERSAL_BEAR+0,L2:BTC-BEAR-5"
e1365d8731,2026-05-31T23:45:57.837594+00:00,BTC,1h,EMA50_BREAKDOWN,SHORT,73483.99,73845.6282,72618.58,2.39,swing_level_sweet,-10,86,HIGH,3,swing (1-3 days),43.25,260.5769,21.72,MIXED,23,1.5,0,CLOSED,LOSS,0,73845.6282,53,,2026-06-01,0,-5,L2:BTC-BEAR-5
60f11a86c7,2026-06-01T01:10:27.098103+00:00,BTC,15m,MACD_CROSS_BEAR,SHORT,73493.17,73960.5146,72364.13,2.42,swing_level_sweet,-10,83,HIGH,2,swing (1-3 days),42.36,181.1822,16.22,MIXED,1,0.85,0,CLOSED,WIN,0,72364.13,55,,2026-06-01,6,-5,"L1:MACD_CROSS_BEAR+6,L2:BTC-BEAR-5"
5555e0593c,2026-06-01T11:06:56.808577+00:00,SOL,15m,EMA21_PULLBACK_BEAR,SHORT,80.93,81.1794,80.36,2.29,swing_level_sweet,-4,100,HIGH,5,swing (1-3 days),42.01,0.2687,40.67,LH_LL,11,3.32,0,CLOSED,WIN,0,80.36,47,,2026-06-01,15,-10,"L1:EMA21_PULLBACK_BEAR+15,L2:SOL-BEAR-10"
b4db421680,2026-06-01T14:13:43.205914+00:00,NQ,1h,BB_REVERSION_BULL,LONG,30352.25,30267.8931,30536.0,2.18,swing_level_sweet,10,80,HIGH,,swing (1-3 days),42.45,78.6898,28.44,HH_HL,14,1.61,0,CLOSED,WIN,0,30536.0,70,,2026-06-01,-20,0,L1:BB_REVERSION_BULL-20
