alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane
d48ad49b84,2026-09-17T22:00:25.067288+00:00,GC,4h,EMA50_BREAKDOWN,SHORT,4380.6,4412.7821,4293.0,2.72,swing_level_sweet,4,45,REJECT,,,51.87,43.4661,27.65,MIXED,22,0.36,0,CLOSED,LOSS,1,4412.7821,45,,2026-09-18,,,,#GC-0917-DT,2026-09-17T22:00:25.067288+00:00,CON.F.US.GCE.Z26,Asia,2.72,lab (not sent),LOSS,-1.0,-1.0,-32.1821,0.261,1.053,27781,2026-09-18T05:43:26.838677+00:00,lab
1bacb7f144,2026-09-17T22:00:25.070329+00:00,GC,4h,VWAP_REJECT_BEAR,SHORT,4380.6,4429.5932,4281.2,2.03,swing_level_sweet,4,14,REJECT,,,51.87,43.4661,27.65,MIXED,22,0.36,0,CLOSED,LOSS,2,4429.5932,14,,2026-09-18,,,,#GC-0917-BR,2026-09-17T22:00:25.070329+00:00,CON.F.US.GCE.Z26,Asia,2.03,lab (not sent),LOSS,-1.0,-1.0,-48.9932,0.171,1.012,29710,2026-09-18T06:15:35.790215+00:00,lab
4831554476,2026-09-18T04:19:15.716127+00:00,GC,1h,VWAP_BOUNCE_BULL,LONG,4393.5,4368.5366,4444.4,2.04,swing_level_sweet,3,56,MEDIUM,,,55.83,18.3169,30.26,MIXED,4,0.14,0,CLOSED,WIN,15,4415.9,56,,2026-09-18,,,,#GC-0918-6Q,2026-09-18T04:19:15.716127+00:00,CON.F.US.GCE.Z26,Asia,2.04,lab (not sent),WIN,0.897,0.897,22.4,1.855,0.501,56158,2026-09-18T19:55:14.644953+00:00,lab
06dca678ed,2026-09-18T04:49:19.384501+00:00,GC,1h,VWAP_BOUNCE_BULL,LONG,4399.4,4368.5266,4465.2,2.13,swing_level_sweet,3,56,MEDIUM,,,58.32,18.3669,30.26,MIXED,4,0.26,0,CLOSED,WIN,15,4415.9,56,,2026-09-18,,,,#GC-0918-GX,2026-09-18T04:49:19.384501+00:00,CON.F.US.GCE.Z26,Asia,2.13,lab (not sent),WIN,0.534,0.534,16.5,1.309,0.596,54355,2026-09-18T19:55:14.989597+00:00,lab
e4172ca59e,2026-09-18T05:19:23.667743+00:00,GC,1h,MACD_CROSS_BULL,LONG,4408.9,4386.436,4457.9,2.18,swing_level_sweet,3,27,REJECT,,,61.3,17.88,30.65,MIXED,5,0.18,0,CLOSED,LOSS,8,4386.436,27,,2026-09-18,,,,#GC-0918-B4,2026-09-18T05:19:23.667743+00:00,CON.F.US.GCE.Z26,Asia,2.18,lab (not sent),LOSS,-1.0,-1.0,-22.464,1.376,1.011,30961,2026-09-18T13:55:25.220780+00:00,lab
ddda25ee6b,2026-09-18T05:19:23.687731+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4408.9,4369.9254,4488.8,2.05,swing_level_sweet,3,56,MEDIUM,,,56.29,41.8728,24.96,MIXED,5,0.55,0,CLOSED,WIN,3,4415.9,56,,2026-09-18,,,,#GC-0918-RK,2026-09-18T05:19:23.687731+00:00,CON.F.US.GCE.Z26,Asia,2.05,lab (not sent),WIN,0.18,0.18,7.0,0.793,0.716,52551,2026-09-18T19:55:15.351663+00:00,lab
291f2e67b0,2026-09-18T05:56:30.084789+00:00,GC,1h,MACD_CROSS_BULL,LONG,4411.8,4386.166,4465.2,2.08,swing_level_sweet,3,27,REJECT,,,62.17,18.78,31.06,MIXED,5,0.84,0,CLOSED,LOSS,8,4386.166,27,,2026-09-18,,,,#GC-0918-BT,2026-09-18T05:56:30.084789+00:00,CON.F.US.GCE.Z26,Asia,2.08,lab (not sent),LOSS,-1.0,-1.0,-25.634,1.092,1.003,28917,2026-09-18T13:58:27.745354+00:00,lab
fc6be3c3cb,2026-09-18T05:56:30.103930+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4408.9,4369.9254,4488.8,2.05,swing_level_sweet,3,56,MEDIUM,,,56.29,41.8728,24.96,MIXED,5,0.55,0,CLOSED,WIN,3,4415.9,56,,2026-09-18,,,,#GC-0918-PJ,2026-09-18T05:56:30.103930+00:00,CON.F.US.GCE.Z26,Asia,2.05,lab (not sent),WIN,0.18,0.18,7.0,0.793,0.716,50325,2026-09-18T19:55:15.694756+00:00,lab
36c096dc9b,2026-09-18T06:26:43.460574+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4424.9,4364.114,4558.5,2.2,swing_level_sweet,3,56,MEDIUM,,,58.56,40.4299,22.92,MIXED,6,0.13,0,CLOSED,LOSS,3,4415.9,56,,2026-09-18,,,,#GC-0918-ZT,2026-09-18T06:26:43.460574+00:00,CON.F.US.GCE.Z26,London,2.2,lab (not sent),LOSS,-0.148,-0.148,-9.0,0.245,0.722,48512,2026-09-18T19:55:16.038113+00:00,lab
b3bab92fb3,2026-09-18T06:56:59.993094+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4424.9,4364.114,4558.5,2.2,swing_level_sweet,3,56,MEDIUM,,,58.56,40.4299,22.92,MIXED,6,0.13,0,CLOSED,LOSS,3,4415.9,56,,2026-09-18,,,,#GC-0918-K8,2026-09-18T06:56:59.993094+00:00,CON.F.US.GCE.Z26,London,2.2,lab (not sent),LOSS,-0.148,-0.148,-9.0,0.245,0.722,46696,2026-09-18T19:55:16.357565+00:00,lab
bb6b0aa72c,2026-09-18T07:29:07.845830+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4433.4,4364.0155,4607.4,2.51,swing_level_sweet,3,56,MEDIUM,,,59.71,40.9227,23.12,MIXED,7,0.33,0,CLOSED,LOSS,3,4415.9,56,,2026-09-18,,,,#GC-0918-ZU,2026-09-18T07:29:07.845830+00:00,CON.F.US.GCE.Z26,London,2.51,lab (not sent),LOSS,-0.252,-0.252,-17.5,0.092,0.755,44768,2026-09-18T19:55:16.679503+00:00,lab
0355cdd7e6,2026-09-18T08:03:14.334395+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4433.4,4364.0155,4607.4,2.51,swing_level_sweet,5,56,MEDIUM,,,59.71,40.9227,23.12,MIXED,8,0.33,0,CLOSED,LOSS,2,4415.9,56,,2026-09-18,,,,#GC-0918-5P,2026-09-18T08:03:14.334395+00:00,CON.F.US.GCE.Z26,London,2.51,lab (not sent),LOSS,-0.252,-0.252,-17.5,0.071,0.755,42722,2026-09-18T19:55:17.007949+00:00,lab
ddf53c14c8,2026-09-18T08:35:27.999528+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4431.7,4363.9769,4607.4,2.59,swing_level_sweet,5,56,MEDIUM,,,59.48,41.1156,23.19,MIXED,8,0.53,0,CLOSED,LOSS,2,4415.9,56,,2026-09-18,,,,#GC-0918-FR,2026-09-18T08:35:27.999528+00:00,CON.F.US.GCE.Z26,London,2.59,lab (not sent),LOSS,-0.233,-0.233,-15.8,0.097,0.749,40789,2026-09-18T19:55:17.333604+00:00,lab
