alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane,lab_gate
4a89c91401,2026-09-23T21:31:45.927309+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,84448.58,83769.8823,86384.73,2.85,swing_level_sweet,10,51,REJECT,,,38.0,565.5814,32.96,MIXED,21,0.39,0,CLOSED,LOSS,4,83769.8823,51,,2026-09-24,,,,#BTC-0923-NQ,2026-09-23T21:31:45.927309+00:00,BTC/USD,Settle,2.85,lab (not sent),LOSS,-1.0,-1.0,-678.6977,0.319,1.066,16834,2026-09-24T02:12:20.857514+00:00,lab,
d11bc9dc47,2026-09-24T01:37:17.143754+00:00,GC,4h,BB_REVERSION_BULL,LONG,4330.6,4307.9341,4363.7,1.46,swing_level,-10,72,HIGH,,,40.42,31.2198,19.7,MIXED,1,0.64,0,CLOSED,LOSS,1,4307.9341,72,,2026-09-24,,,,#GC-0923-58,2026-09-24T01:37:17.143754+00:00,CON.F.US.GCE.Z26,Asia,1.46,lab (not sent),LOSS,-1.0,-1.0,-22.6659,0.062,1.271,24175,2026-09-24T08:20:12.817562+00:00,lab,rr_too_low
b2b58ef8a1,2026-09-24T01:59:19.727688+00:00,GC,1h,EMA21_PULLBACK_BEAR,SHORT,4314.7,4342.2676,4273.3,1.5,swing_level,-10,6,REJECT,,,35.2,15.3235,37.68,MIXED,1,1.04,0,CLOSED,WIN,17,4309.9,6,,2026-09-24,,,,#GC-0923-H2,2026-09-24T01:59:19.727688+00:00,CON.F.US.GCE.Z26,Asia,1.5,lab (not sent),WIN,0.174,0.174,4.8,1.32,0.628,64569,2026-09-24T19:55:29.640375+00:00,lab,rr_too_low
aa953f1b8a,2026-09-24T01:59:19.777553+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,84100.38,84532.699,83513.0,1.36,swing_level,10,30,REJECT,,,35.4,190.0302,25.83,MIXED,1,0.67,0,CLOSED,LOSS,22,84532.699,30,,2026-09-24,,,,#BTC-0923-CM,2026-09-24T01:59:19.777553+00:00,BTC/USD,Asia,1.36,lab (not sent),LOSS,-1.0,-1.0,-432.319,0.867,1.086,20207,2026-09-24T07:36:07.054028+00:00,lab,rr_too_low
498ebe89c1,2026-09-24T02:12:20.845457+00:00,GC,4h,BB_REVERSION_BULL,LONG,4330.6,4307.9341,4363.7,1.46,swing_level,-10,72,HIGH,,,40.42,31.2198,19.7,MIXED,2,0.64,0,CLOSED,LOSS,1,4307.9341,72,,2026-09-24,,,,#GC-0923-GU,2026-09-24T02:12:20.845457+00:00,CON.F.US.GCE.Z26,Asia,1.46,lab (not sent),LOSS,-1.0,-1.0,-22.6659,0.062,1.271,22071,2026-09-24T08:20:12.834007+00:00,lab,rr_too_low
8b937c8f39,2026-09-24T02:29:23.066357+00:00,GC,1h,EMA21_PULLBACK_BEAR,SHORT,4320.7,4342.5794,4273.3,2.17,swing_level_sweet,-10,6,REJECT,,,39.03,15.2647,38.06,MIXED,2,0.59,0,CLOSED,WIN,17,4309.9,6,,2026-09-24,,,,#GC-0923-TU,2026-09-24T02:29:23.066357+00:00,CON.F.US.GCE.Z26,Asia,2.17,lab (not sent),WIN,0.494,0.494,10.8,1.938,0.516,62766,2026-09-24T19:55:29.685636+00:00,lab,conviction
dc8ffa60fc,2026-09-24T02:29:23.117859+00:00,BTC,15m,BB_REVERSION_BULL,LONG,84145.68,83661.5228,85457.35,2.71,swing_level_sweet,10,35,REJECT,,,42.13,212.824,26.63,MIXED,2,0.63,0,CLOSED,LOSS,25,83661.5228,35,,2026-09-24,,,,#BTC-0923-VH,2026-09-24T02:29:23.117859+00:00,BTC/USD,Asia,2.71,lab (not sent),LOSS,-1.0,-1.0,-484.1572,0.96,1.127,22501,2026-09-24T08:44:24.309624+00:00,lab,conviction
2a840f73dd,2026-09-24T02:43:24.260831+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4331.4,4306.3743,4363.7,1.29,swing_level,-10,56,MEDIUM,,,41.68,31.1286,20.51,MIXED,2,0.24,0,CLOSED,LOSS,1,4306.3743,56,,2026-09-24,,,,#GC-0923-GM,2026-09-24T02:43:24.260831+00:00,CON.F.US.GCE.Z26,Asia,1.29,lab (not sent),LOSS,-1.0,-1.0,-25.0257,0.0,1.183,20208,2026-09-24T08:20:12.848636+00:00,lab,rr_too_low
c240f57fe3,2026-09-24T02:43:24.266051+00:00,GC,4h,STOCH_REVERSAL_BULL,LONG,4331.4,4300.1486,4363.7,1.03,swing_level,-10,11,REJECT,,,41.68,31.1286,20.51,MIXED,2,0.24,0,CLOSED,LOSS,1,4300.1486,11,,2026-09-24,,,,#GC-0923-F9,2026-09-24T02:43:24.266051+00:00,CON.F.US.GCE.Z26,Asia,1.03,lab (not sent),LOSS,-1.0,-1.0,-31.2514,0.0,1.114,20629,2026-09-24T08:27:13.968079+00:00,lab,rr_too_low
7f772bdd95,2026-09-24T02:43:24.294555+00:00,BTC,15m,VWAP_BOUNCE_BULL,LONG,84322.02,83891.5294,85457.35,2.64,swing_level_sweet,8,19,REJECT,,,49.92,212.703,25.89,MIXED,2,0.52,0,CLOSED,LOSS,3,83891.5294,19,,2026-09-24,,,,#BTC-0923-8Q,2026-09-24T02:43:24.294555+00:00,BTC/USD,Asia,2.64,lab (not sent),LOSS,-1.0,-1.0,-430.4906,0.355,1.093,3484,2026-09-24T03:41:28.930386+00:00,lab,conviction
