alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane,lab_gate,w264_action,w264_source
4a270a58da,2026-04-27T23:47:53.350307+00:00,SOL,1h,BREAK_RETEST_BEAR,SHORT,84.67,84.931,83.85,3.14,swing_level,-6,79,MEDIUM,5,intraday (hours),40.2,0.5275,33.81,LH_LL,23,0.57,0,CLOSED,WIN,0,83.85,79,,2026-04-28,,,,,,,,,,,,,,,,,,,,close,"kdubsk1/bot outcomes.csv @ ed5e9344 (2026-05-06T07:55:53): the bot's own CLOSED row, identical in all 20 versions from 7a1269c6 (2026-04-28T15:06:33) to ed5e9344"
cc42bde93d,2026-04-28T00:02:16.446445+00:00,BTC,1h,BREAK_RETEST_BEAR,SHORT,77332.69,77632.3365,76447.51,2.95,swing_level,0,71,MEDIUM,4,intraday (hours),46.6,378.3414,23.37,LH_LL,0,0.02,0,CLOSED,WIN,0,76447.51,71,,2026-04-28,,,,,,,,,,,,,,,,,,,,close,"kdubsk1/bot outcomes.csv @ ed5e9344 (2026-05-06T07:55:53): the bot's own CLOSED row, identical in all 20 versions from 7a1269c6 (2026-04-28T15:06:33) to ed5e9344"
8ad6d2d9ae,2026-04-28T16:53:58.488323+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,76052.0,76165.8006,75646.84,3.56,swing_level,-4,83,HIGH,10,swing (1-3 days),44.8,198.768,31.91,LH_LL,16,0.51,0,CLOSED,LOSS,0,76165.8006,83,,2026-04-28,,,,,,,,,,,,,,,,,,,,add,"kdubsk1/bot outcomes.csv @ ed5e9344 (2026-05-06T07:55:53): the bot's own CLOSED row, in outcomes.csv on GitHub from 2026-04-28 22:36 UTC (closed from 2026-04-28T22:36) to 2026-05-06 and never in data/archive/outcomes_2026-04-28.csv (written at 03:05 UTC that day, before this call fired)"
6a07ff4d2b,2026-04-28T18:27:25.504286+00:00,SOL,1h,EMA21_PULLBACK_BEAR,SHORT,83.76,84.0956,82.96,2.38,swing_level,-10,77,MEDIUM,4,intraday (hours),41.9,0.4713,33.92,LH_LL,18,0.54,0,CLOSED,LOSS,0,84.0956,77,,2026-04-28,,,,,,,,,,,,,,,,,,,,add,"kdubsk1/bot outcomes.csv @ ed5e9344 (2026-05-06T07:55:53): the bot's own CLOSED row, in outcomes.csv on GitHub from 2026-04-28 22:36 UTC (closed from 2026-04-29T01:22) to 2026-05-06 and never in data/archive/outcomes_2026-04-28.csv (written at 03:05 UTC that day, before this call fired)"
754a5e22c3,2026-04-28T19:13:25.379695+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,76117.56,76297.0246,75646.84,2.62,swing_level,-4,75,MEDIUM,6,intraday (hours),48.01,176.7155,18.85,LH_LL,19,0.36,0,CLOSED,LOSS,0,76297.0246,75,,2026-04-28,,,,,,,,,,,,,,,,,,,,add,"kdubsk1/bot outcomes.csv @ ed5e9344 (2026-05-06T07:55:53): the bot's own CLOSED row, in outcomes.csv on GitHub from 2026-04-28 22:36 UTC (closed from 2026-04-28T22:36) to 2026-05-06 and never in data/archive/outcomes_2026-04-28.csv (written at 03:05 UTC that day, before this call fired)"
1e7bb0785f,2026-04-28T19:51:42.606996+00:00,BTC,1h,BREAK_RETEST_BEAR,SHORT,76325.0,76568.3694,75646.84,2.79,swing_level,-4,73,MEDIUM,5,intraday (hours),40.91,358.4234,31.11,LH_LL,19,0.77,0,CLOSED,LOSS,0,76568.3694,73,,2026-04-28,,,,,,,,,,,,,,,,,,,,add,"kdubsk1/bot outcomes.csv @ ed5e9344 (2026-05-06T07:55:53): the bot's own CLOSED row, in outcomes.csv on GitHub from 2026-04-28 22:36 UTC (closed from 2026-04-29T04:36) to 2026-05-06 and never in data/archive/outcomes_2026-04-28.csv (written at 03:05 UTC that day, before this call fired)"
eac0c5ee0a,2026-05-04T16:28:51.604703+00:00,NQ,15m,BB_REVERSION_BULL,LONG,27711.25,27591.073,27965.75,2.12,swing_level_sweet,8,69,MEDIUM,,intraday (hours),36.55,73.0899,36.34,MIXED,16,1.43,0,CLOSED,WIN,0,27965.75,69,,2026-05-04,0,0,,,,,,,,,,,,,,,,,,close,"kdubsk1/bot outcomes.csv @ e00a5113 (2026-05-12T03:18:12): the bot's own CLOSED row, identical in all 17 versions from d8100943 (2026-05-05T13:55:33) to e00a5113"
3c2d9f2fca,2026-05-10T13:46:04.101625+00:00,BTC,1h,MACD_CROSS_BULL,LONG,80961.74,80704.4552,81709.17,2.91,swing_level_sweet,10,86,HIGH,5,swing (1-3 days),65.43,189.5495,28.1,HH_HL,13,1.28,0,CLOSED,LOSS,0,80704.4552,86,,2026-05-10,0,0,,,,,,,,,,,,,,,,,,close,"kdubsk1/bot outcomes.csv @ bb381d25 (2026-05-18T14:25:49): the bot's own CLOSED row, identical in all 26 versions from 57181297 (2026-05-11T10:35:35) to bb381d25"
a0f173ee94,2026-05-13T16:01:17.302906+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,78972.99,78578.7362,80375.21,3.56,swing_level,8,74,MEDIUM,3,intraday (hours),28.03,425.0595,30.25,HH_HL,16,1.31,0,CLOSED,WIN,0,80375.21,55,,2026-05-13,-5,0,L1:STOCH_REVERSAL_BULL-5,,,,,,,,,,,,,,,,,close,"kdubsk1/bot outcomes.csv @ b14ccdf8 (2026-05-21T14:28:30): the bot's own CLOSED row, identical in all 26 versions from 4564ab83 (2026-05-14T20:24:02) to b14ccdf8"
2f829c9ff0,2026-05-13T16:12:21.153801+00:00,SOL,1h,STOCH_REVERSAL_BULL,LONG,90.65,89.8722,92.84,2.82,swing_level_sweet,10,72,MEDIUM,2,intraday (hours),22.74,0.8696,25.71,MIXED,16,0.83,0,CLOSED,SKIP,,90.65,30,,2026-05-13,-5,0,L1:STOCH_REVERSAL_BULL-5,,,,,,,,,,,,,,,,,close,"kdubsk1/bot outcomes.csv @ b14ccdf8 (2026-05-21T14:28:30): the bot's own CLOSED row, identical in all 26 versions from 4564ab83 (2026-05-14T20:24:02) to b14ccdf8"
