alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at
5fd3f3de5a,2026-09-09T23:21:33.921033+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,78138.28,77547.7797,79394.55,2.13,swing_level_sweet,10,59,MEDIUM,2,intraday (hours-1 day),41.61,448.0507,27.74,MIXED,23,0.15,0,CLOSED,LOSS,0,77547.7797,59,,2026-09-10,0,0,,,,,,,,,,,,,,,
ac8b5c73e1,2026-09-10T13:06:29.306077+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,77017.5,76535.7339,78041.24,2.12,swing_level_sweet,6,58,MEDIUM,2,scalp (1-6 hours),24.91,235.9902,31.01,MIXED,13,1.64,0,CLOSED,LOSS,0,76535.7339,58,,2026-09-10,0,0,,,,,,,,,,,,,,,
eef4736845,2026-09-10T14:24:57.100412+00:00,NQ,15m,OPENING_RANGE_BREAKOUT,LONG,29228.75,29044.0883,29622.0,2.13,swing_level_sweet,-5,62,HIGH,,scalp (15-90 min) - flat by 4PM ET,46.12,67.0586,36.73,MIXED,14,1.97,0,CLOSED,LOSS,0,29129.75,62,,2026-09-10,0,0,,,,,,,,,,,,,,,
7e1d5a53b7,2026-09-11T19:06:22.988111+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,77207.33,76767.5099,78199.74,2.26,swing_level_sweet,6,58,MEDIUM,3,scalp (1-6 hours),42.33,366.5167,27.84,MIXED,19,0.27,0,CLOSED,LOSS,0,76767.5099,58,,2026-09-11,0,0,,,,,,,,,,,,,,,
f95c41b574,2026-09-13T22:07:16.166103+00:00,GC,1h,MACD_CROSS_BEAR,SHORT,4378.4,4400.3107,4333.0,2.07,swing_level_sweet,-3,76,HIGH,,intraday (1-4 hours) - flat by 4PM ET,43.63,21.7022,20.09,LH_LL,22,0.17,0,CLOSED,WIN,0,4333.0,76,True,2026-09-14,0,0,,,,,,,,,,,,,,,
97e917a4b9,2026-09-14T10:42:23.158418+00:00,GC,1h,BB_REVERSION_BULL,LONG,4334.7,4311.3306,4396.8,2.66,swing_level_sweet,1,74,HIGH,,intraday (1-4 hours) - flat by 4PM ET,35.67,19.8981,22.06,MIXED,10,0.69,0,CLOSED,LOSS,0,4311.3306,74,,2026-09-14,0,0,,,,,,,,,,,,,,,
9f2d824b18,2026-09-14T14:07:30.990232+00:00,NQ,15m,OPENING_RANGE_BREAKOUT,LONG,29063.25,28868.8125,29472.75,2.11,swing_level_sweet,-10,60,HIGH,,scalp (15-90 min) - flat by 4PM ET,68.59,49.6873,25.55,LH_LL,14,1.49,0,CLOSED,WIN,0,29190.0,60,True,2026-09-14,0,0,,,,,,,,,,,,,,,
088d6fd8fe,2026-09-14T14:15:42.104829+00:00,GC,1h,BB_REVERSION_BULL,LONG,4320.8,4286.7448,4396.8,2.23,swing_level_sweet,1,72,HIGH,,intraday (1-4 hours) - flat by 4PM ET,35.05,20.8507,29.51,MIXED,14,0.74,0,CLOSED,WIN,0,4327.0,72,True,2026-09-14,0,0,,,,,,,,,,,,,,,
2a09acfeff,2026-09-15T02:27:51.767701+00:00,GC,1h,VWAP_BOUNCE_BULL,LONG,4350.0,4324.7964,4402.0,2.06,swing_level_sweet,3,57,MEDIUM,,intraday (1-4 hours) - flat by 4PM ET,50.51,18.0179,26.6,MIXED,2,0.4,0,CLOSED,LOSS,0,4324.7964,57,,2026-09-15,0,0,,,,,,,,,,,,,,,
2674451962,2026-09-15T14:10:39.221825+00:00,NQ,15m,OPENING_RANGE_BREAKOUT,SHORT,29369.0,29461.487,29118.0,2.71,swing_level_sweet,-10,62,HIGH,,scalp (15-90 min) - flat by 4PM ET,44.8,39.9351,24.51,MIXED,14,2.23,0,CLOSED,WIN,22,29234.75,62,True,2026-09-15,0,0,,#NQ-0915-H5,2026-09-15T14:10:39.221825+00:00,CON.F.US.ENQ.Z26,NY open,2.71,control,WIN,2.71,1.452,134.25,1.746,0.0,20681,2026-09-15T19:55:20.702121+00:00
